Place,virus,sample_size,log_lik,DIC,n_eff,model
Pirries & Pijivasal,VEEV,73,-25.429733655588244,59.664227726545256,8.804760415368769,constant
Pirries & Pijivasal,VEEV,73,-18.92615735577559,47.75368321215367,9.901368500602487,time_varying
Mercadeo,VEEV,103,-26.076873228843326,55.41048184890214,3.2567353912154857,constant
Mercadeo,VEEV,103,-22.355920636021875,48.66195995078055,3.9501186787368,time_varying
Tamarindo,VEEV,176,-13.956862046640646,29.958492957084083,2.0447688638027905,constant
Tamarindo,VEEV,176,-13.15367083258605,28.895795364025055,2.5884536988529554,time_varying
El Real,VEEV,251,-27.224351384549713,59.88151468796149,5.432811918862065,constant
El Real,VEEV,251,-25.16037081799358,56.75821896203948,6.437477326052317,time_varying
Aruza,VEEV,167,-20.99173348736896,44.07703910714328,2.093572132405356,constant
Aruza,VEEV,167,-20.89761981101106,45.33041869570439,3.535179073682265,time_varying
Mogue,VEEV,243,-21.524108311640987,44.84905966551151,1.8008430422295376,constant
Mogue,VEEV,243,-22.292969338482422,48.11748143915181,3.531542762186966,time_varying
Pirries & Pijivasal,MADV,74,-4.956134127203917,11.158109021229452,1.2458407668216172,constant
Pirries & Pijivasal,MADV,74,-5.325165870387458,11.939365742281138,1.2890340015062218,time_varying
Mercadeo,MADV,103,-9.206373655602382,20.44517906399792,2.032431752793155,constant
Mercadeo,MADV,103,-9.338057362940695,20.904380787412386,2.228266061530995,time_varying
Tamarindo,MADV,176,-6.3568792475210625,14.175493990213214,1.461735495171089,constant
Tamarindo,MADV,176,-6.878810235060557,15.615607675718849,1.857987205597734,time_varying
El Real,MADV,251,-3.3885093406925346,8.049284745653521,1.272266064268452,constant
El Real,MADV,251,-3.544558128549143,7.985189833520973,0.8960735764226868,time_varying
Aruza,MADV,167,-30.112580750540864,64.73269165351634,4.507530152434612,constant
Aruza,MADV,167,-24.534350704513493,54.14740294302733,5.078701534000345,time_varying
Mogue,MADV,243,-20.939592465004196,44.85945102086397,2.9802660908555794,constant
Mogue,MADV,243,-21.371134592473197,47.21794509499195,4.4756759100455525,time_varying
