virus,Place,Year_survey,sample_size,ll,DIC,model
VEEV,Pirries & Pijivasal,2012,73,-42.16492564766014,84.32985129532028,constant
VEEV,Pirries & Pijivasal,2012,73,-15.521444621898727,31.042889243797454,time-varying
VEEV,Mercadeo,2012,103,-31.52734223824806,63.05468447649612,constant
VEEV,Mercadeo,2012,103,-24.303154459697517,48.60630891939503,time-varying
VEEV,Tamarindo,2012,176,-9.242844798256545,18.48568959651309,constant
VEEV,Tamarindo,2012,176,-9.291366963754555,18.58273392750911,time-varying
VEEV,El Real,2012,251,-27.936973702927528,55.873947405855056,constant
VEEV,El Real,2012,251,-21.787810707455286,43.57562141491057,time-varying
VEEV,Aruza,2012,167,-13.252846742652189,26.505693485304377,constant
VEEV,Aruza,2012,167,-12.517843055844388,25.035686111688776,time-varying
VEEV,Mogue,2017,243,-18.803785080075087,37.607570160150175,constant
VEEV,Mogue,2017,243,-18.55519060360355,37.1103812072071,time-varying
MADV,Pirries & Pijivasal,2012,74,-3.800461368564803,7.600922737129606,constant
MADV,Pirries & Pijivasal,2012,74,-4.384411182085619,8.768822364171237,time-varying
MADV,Mercadeo,2012,103,-8.510974569588388,17.021949139176776,constant
MADV,Mercadeo,2012,103,-9.167250251243145,18.33450050248629,time-varying
MADV,Tamarindo,2012,176,-7.819931022584723,15.639862045169446,constant
MADV,Tamarindo,2012,176,-8.130522064428023,16.261044128856046,time-varying
MADV,El Real,2012,251,-3.0967852378348066,6.193570475669613,constant
MADV,El Real,2012,251,-3.9361839734920085,7.872367946984017,time-varying
MADV,Aruza,2012,167,-31.844866874601358,63.689733749202716,constant
MADV,Aruza,2012,167,-22.79400207297587,45.58800414595174,time-varying
MADV,Mogue,2017,243,-16.895820548411212,33.791641096822424,constant
MADV,Mogue,2017,243,-15.71955884348667,31.43911768697334,time-varying
